飲み物,のみもの,beverage/drink,Noun,JLPT4
重い,おもい,heavy,Adjective,JLPT4
軽い,かるい,light/light weight,Adjective,JLPT4
取る,とる,take/get,Verb,JLPT4
待つ,まつ,wait/wait for,Verb,JLPT4
持つ,もつ,have/possess,Verb,JLPT4
どちら,どちら,which,Noun,JLPT4
先生,せんせい,teacher,Noun,JLPT4
大学,だいがく,university/college,Noun,JLPT4
学生,がくせい,student,Noun,JLPT4
学校,がっこう,school,Noun,JLPT4
教える,おしえる,teach/tell,Verb,JLPT4
勉強,べんきょう,study,Verbal Noun,JLPT4
強い,つよい,strong,Adjective,JLPT4
どれ,どれ,what/which,Noun,JLPT4
引く,ひく,draw/pull,Verb,JLPT4
質問,しつもん,question,Verbal Noun,JLPT4
難しい,むずかしい,difficult,Adjective,JLPT4
要る,いる,need/require,Verb,JLPT4
ドア,ドア,door,Noun,JLPT4
時計,とけい,clock/watch,Noun,JLPT4
切る,きる,cut,Verb,JLPT4
乗る,のる,ride/take,Verb,JLPT4
着る,きる,wear/put on,Verb,JLPT4
立つ,たつ,stand/rise,Verb,JLPT4
座る,すわる,sit/sit down,Verb,JLPT4
次,つぎ,next,Noun,JLPT4
働く,はたらく,work,Verb,JLPT4
早い,はやい,early,Adjective,JLPT4
速い,はやい,fast,Adjective,JLPT4
遅い,おそい,slow/late,Adjective,JLPT4
始まる,はじまる,begin,Verb,JLPT4
テーブル,テーブル,table,Noun,JLPT4
去年,きょねん,last year,Noun,JLPT4
紙,かみ,paper,Noun,JLPT4
楽しい,たのしい,fun/enjoyable,Adjective,JLPT4
歌う,うたう,sing,Verb,JLPT4
欲しい,ほしい,want/desire,Adjective,JLPT4
色,いろ,color,Noun,JLPT4
茶色,ちゃいろ,light brown,Noun,JLPT4
同じ,おなじ,same/identical,Adjectival Noun,JLPT4
違う,ちがう,differ/be wrong,Verb,JLPT4
図書館,としょかん,library,Noun,JLPT4
遊ぶ,あそぶ,play,Verb,JLPT4
どうして,どうして,why,Adverb,JLPT4
服,ふく,clothes,Noun,JLPT4
お父さん,おとうさん,father,Noun,JLPT4
父,ちち,(speaker's)father,Noun,JLPT4
お母さん,おかあさん,mother,Noun,JLPT4
母,はは,(speaker's)mother,Noun,JLPT4
姉,あね,older sister,Noun,JLPT4
お姉さん,おねえさん,older sister,Noun,JLPT4
妹,いもうと,younger sister,Noun,JLPT4
おなか,おなか,stomach,Noun,JLPT4
兄,あに,older brother,Noun,JLPT4
お兄さん,おにいさん,older brother,Noun,JLPT4
弟,おとうと,younger brother,Noun,JLPT4
若い,わかい,young,Adjective,JLPT4
結婚,けっこん,marriage,Verbal Noun,JLPT4
自転車,じてんしゃ,bicycle,Noun,JLPT4
自分,じぶん,self/oneself,Noun,JLPT4
答える,こたえる,answer/reply,Verb,JLPT4
病気,びょうき,illness,Verbal Noun,JLPT4
死ぬ,しぬ,die,Verb,JLPT4
痛い,いたい,painful,Adjective,JLPT4
つける,つける,switch on,Verb,JLPT4
飛ぶ,とぶ,fly,Verb,JLPT4
飛行機,ひこうき,airplane,Noun,JLPT4
頭,あたま,head,Noun,JLPT4
顔,かお,face,Noun,JLPT4
あれ,あれ,that over there,Noun,JLPT4
お手洗い,おてあらい,toilet/bathroom,Noun,JLPT4
冷たい,つめたい,cold (things/touch),Adjective,JLPT4
汚い,きたない,dirty,Adjective,JLPT4
太い,ふとい,thick/fat,Adjective,JLPT4
曇る,くもる,become cloudy,Verb,JLPT4
まずい,まずい,bad-tasting/bad,Adjective,JLPT4
置く,おく,put/leave,Verb,JLPT4
辺,へん,vicinity/part,Noun,JLPT4
黄色い,きいろい,yellow,Adjective,JLPT4
易しい,やさしい,easy/simple,Adjective,JLPT4
留学生,りゅうがくせい,student studying abroad,Noun,JLPT4
そば,そば,side/vicinity,Noun,JLPT4
起きる,おきる,get up/get out of bed,Verb,JLPT4
起きる,おきる,occur,Verb,JLPT4
寝る,ねる,sleep/go to sleep,Verb,JLPT4
細い,ほそい,thin/slender/narrow,Adjective,JLPT4
締める,しめる,tighten/fasten,Verb,JLPT4
甘い,あまい,sweet,Adjective,JLPT4
辛い,からい,spicy/salty,Adjective,JLPT4
言葉,ことば,word/language,Noun,JLPT4
呼ぶ,よぶ,call/name,Verb,JLPT4
片仮名,かたかな,katakana,Noun,JLPT4
平仮名,ひらがな,hiragana,Noun,JLPT4
授業,じゅぎょう,class/lesson,Verbal Noun,JLPT4
あそこ,あそこ,over there,Pronoun,JLPT4
狭い,せまい,narrow/restricted,Adjective,JLPT4
嫌い,きらい,dislike,Adjective,JLPT4
鼻,はな,nose,Noun,JLPT4
おいしい,おいしい,tasty,Adjective,JLPT4
大丈夫,だいじょうぶ,alright/OK,Adjectival Noun,JLPT4
なる,なる,become,Verb,JLPT4
七,しち,seven,Noun,JLPT4
木,き,tree/wood,Noun,JLPT4
何,なん,what/which,Noun,JLPT4
先月,せんげつ,last month,Noun,JLPT4
やる,やる,give (to an inferior),Verb,JLPT4
先週,せんしゅう,last week,Noun,JLPT4
来月,らいげつ,next month,Noun,JLPT4
来週,らいしゅう,next week,Noun,JLPT4
中,なか,inside/middle,Noun,JLPT4
もう,もう,another/again,Adverb,JLPT4
よく,よく,well,Adverb,JLPT4
二人,ふたり,two persons,Noun,JLPT4
テレビ,テレビ,television,Noun,JLPT4
外,そと,outside/open air,Noun,JLPT4
休み,やすみ,rest/holiday/absence,Noun,JLPT4
出口,でぐち,exit/exit ramp,Noun,JLPT4
下手,へた,not good at,Adjectival Noun,JLPT4
山,やま,mountain,Noun,JLPT4
川,かわ,river/stream,Noun,JLPT4
空,そら,sky/weather,Noun,JLPT4
あまり,あまり,(not) much,Adverb,JLPT4
海,うみ,sea/ocean,Noun,JLPT4
毎日,まいにち,every day,Noun,JLPT4
毎年,まいとし,every year,Noun,JLPT4
毎年,まいねん,every year,Noun,JLPT4
毎週,まいしゅう,every week,Noun,JLPT4
毎月,まいつき,every month,Noun,JLPT4
花,はな,flower,Noun,JLPT4
女の子,おんなのこ,girl/daughter,Noun,JLPT4
男の子,おとこのこ,boy/baby boy,Noun,JLPT4
家,いえ,house/home,Noun,JLPT4
家内,かない,my wife,Noun,JLPT4
ホテル,ホテル,hotel,Noun,JLPT4
雨,あめ,rain,Noun,JLPT4
雪,ゆき,snow/snowfall,Noun,JLPT4
青い,あおい,blue,Adjective,JLPT4
暗い,くらい,dark/dreary/shadowy,Adjective,JLPT4
東,ひがし,east/eastern,Noun,JLPT4
西,にし,west/western,Noun,JLPT4
南,みなみ,south,Noun,JLPT4
北,きた,north,Noun,JLPT4
向こう,むこう,the other side/the other party/opponent,Noun,JLPT4
開く,あく,open,Verb,JLPT4
もちろん,もちろん,of course/no doubt,Adverb,JLPT4
初めて,はじめて,for the first time,Adverb,JLPT4
スポーツ,スポーツ,sport,Noun,JLPT4
半分,はんぶん,half,Noun,JLPT4
毎朝,まいあさ,every morning,Noun,JLPT4
今朝,けさ,this morning,Noun,JLPT4
毎晩,まいばん,every evening,Noun,JLPT4
夕方,ゆうがた,evening,Noun,JLPT4
ニュース,ニュース,news,Noun,JLPT4
話,はなし,talk/story,Noun,JLPT4
英語,えいご,English,Noun,JLPT4
会社,かいしゃ,company/corporation,Noun,JLPT4
電話,でんわ,telephone/phone call,Verbal Noun,JLPT4
電気,でんき,electricity/electric light,Noun,JLPT4
バス,バス,bus,Noun,JLPT4
車,くるま,car,Noun,JLPT4
クラス,クラス,class,Noun,JLPT4
地図,ちず,map/atlas,Noun,JLPT4
パーティー,パーティー,party,Verbal Noun,JLPT4
止まる,とまる,come to a stop/cease,Verb,JLPT4
渡す,わたす,carry across/hand over,Verb,JLPT4
渡る,わたる,cross/ford/go across,Verb,JLPT4
アパート,アパート,apartment/flat, apartment house,Noun,JLPT4
レコード,レコード,record,Noun,JLPT4
外国,がいこく,foreign country,Noun,JLPT4
カメラ,カメラ,camera,Noun,JLPT4
外国人,がいこくじん,foreigner,Noun,JLPT4
テープ,テープ,tape/cassette,Noun,JLPT4
黒い,くろい,black/dark,Adjective,JLPT4
銀行,ぎんこう,bank,Noun,JLPT4
地下鉄,ちかてつ,subway,Noun,JLPT4
牛肉,ぎゅうにく,beef,Noun,JLPT4
肉,にく,flesh/meat,Noun,JLPT4
魚,さかな,fish,Noun,JLPT4
野菜,やさい,vegetable,Noun,JLPT4
八百屋,やおや,vegetable store/greengrocer,Noun,JLPT4
お茶,おちゃ,tea (polite),Noun,JLPT4
テスト,テスト,test/exam,Verbal Noun,JLPT4
料理,りょうり,cooking/handling,Verbal Noun,JLPT4
作文,さくぶん,composition/essay,Noun,JLPT4
消える,きえる,be extinguished/disappear,Verb,JLPT4
ラジオ,ラジオ,radio,Noun,JLPT4
タクシー,タクシー,taxi/cab,Noun,JLPT4
ゆっくり,ゆっくり,slowly,Adverb,JLPT4
階段,かいだん,steps/flight of stairs,Noun,JLPT4
レストラン,レストラン,restaurant,Noun,JLPT4
夏休み,なつやすみ,summer vacation,Noun,JLPT4
風,かぜ,wind,Noun,JLPT4
新聞,しんぶん,newspaper,Noun,JLPT4
フィルム,フィルム,film,Noun,JLPT4
デパート,デパート,department store/department,Noun,JLPT4
ベッド,ベッド,bed,Noun,JLPT4
コート,コート,coat/jacket,Noun,JLPT4
郵便局,ゆうびんきょく,post office,Noun,JLPT4
交番,こうばん,police box,Noun,JLPT4
ノート,ノート,note book/laptop,Noun,JLPT4
番号,ばんごう,number/serial number,Noun,JLPT4
台所,だいどころ,kitchen,Noun,JLPT4
有名,ゆうめい,famous,Adjectival Noun,JLPT4
町,まち,town/machi/city quarter,Noun,JLPT4
トイレ,トイレ,toilet,Noun,JLPT4
朝御飯,あさごはん,breakfast,Noun,JLPT4
買い物,かいもの,shopping/purchase,Verbal Noun,JLPT4
荷物,にもつ,baggage/load,Noun,JLPT4
物,もの,thing/object,Noun,JLPT4
持つ,もつ,maintain/last long,Verb,JLPT4
生まれる,うまれる,be born/come into existence,Verb,JLPT4
プール,プール,pool,Noun,JLPT4
生徒,せいと,pupil/student,Noun,JLPT4
エレベーター,エレベーター,elevator,Noun,JLPT4
パン,パン,bread,Noun,JLPT4
ズボン,ズボン,trousers/pants,Noun,JLPT4
練習,れんしゅう,practice/training,Verbal Noun,JLPT4
習う,ならう,learn/practice,Verb,JLPT4
グラム,グラム,gram,Noun,JLPT4
問題,もんだい,problem/question,Noun,JLPT4
あなた,あなた,you,Noun,JLPT4
便利,べんり,convenience/handiness,Adjectival Noun,JLPT4
こちら,こちら,here/this way,Noun,JLPT4
返す,かえす,return/repay,Verb,JLPT4
借りる,かりる,borrow,Verb,JLPT4
ボタン,ボタン,button,Noun,JLPT4
貸す,かす,lend/lease,Verb,JLPT4
コート,コート,court,Noun,JLPT4
切手,きって,postage stamp,Noun,JLPT4
大切,たいせつ,important/valuable,Adjectival Noun,JLPT4
切符,きっぷ,ticket,Noun,JLPT4
ポケット,ポケット,pocket,Noun,JLPT4
ネクタイ,ネクタイ,tie/necktie,Noun,JLPT4
降りる,おりる,get off/land,Verb,JLPT4
降る,ふる,fall/come down,Verb,JLPT4
着く,つく,arrive/make contact/settle,Verb,JLPT4
上着,うわぎ,coat/jacket,Noun,JLPT4
脱ぐ,ぬぐ,remove clothes/take off,Verb,JLPT4
ギター,ギター,guitar,Noun,JLPT4
セーター,セーター,sweater/pullover,Noun,JLPT4
動物,どうぶつ,animal,Noun,JLPT4
シャツ,シャツ,shirt,Noun,JLPT4
ナイフ,ナイフ,knife,Noun,JLPT4
手紙,てがみ,letter,Noun,JLPT4
絵,え,picture/painting/drawing,Noun,JLPT4
雑誌,ざっし,magazine/journal,Noun,JLPT4
音楽,おんがく,music,Noun,JLPT4
薬,くすり,drug/remedy/chemical,Noun,JLPT4
歌,うた,song,Noun,JLPT4
映画,えいが,movie,Noun,JLPT4
写真,しゃしん,photograph,Noun,JLPT4
スカート,スカート,skirt,Noun,JLPT4
ペン,ペン,pen,Noun,JLPT4
角,かど,corner/edge/angle,Noun,JLPT4
旅行,りょこう,travel/trip,Verbal Noun,JLPT4
大使館,たいしかん,embassy,Noun,JLPT4
映画館,えいがかん,movie theater,Noun,JLPT4
宿題,しゅくだい,homework,Noun,JLPT4
ゼロ,ゼロ,zero,Noun,JLPT4
洋服,ようふく,clothes,Noun,JLPT4
教室,きょうしつ,classroom/class,Noun,JLPT4
窓,まど,window/windowpane,Noun,JLPT4
家族,かぞく,family/household,Noun,JLPT4
二十歳,はたち,20 years old,Noun,JLPT4
兄弟,きょうだい,sibling,Noun,JLPT4
果物,くだもの,fruit,Noun,JLPT4
自動車,じどうしゃ,automobile,Noun,JLPT4
頼む,たのむ,ask/request,Verb,JLPT4
並ぶ,ならぶ,line up/be parallel,Verb,JLPT4
並べる,ならべる,line up/display/set up,Verb,JLPT4
病院,びょういん,hospital,Noun,JLPT4
医者,いしゃ,doctor,Noun,JLPT4
歯,は,tooth/cog,Noun,JLPT4
コップ,コップ,cup/glass,Noun,JLPT4
忙しい,いそがしい,busy/occupied,Adjective,JLPT4
疲れる,つかれる,get tired/become fatigued,Verb,JLPT4
危ない,あぶない,dangerous/uncertain,Adjective,JLPT4
意味,いみ,meaning/significance,Noun,JLPT4
つまらない,つまらない,boring/dull,Adjective,JLPT4
マッチ,マッチ,match/matchbox,Noun,JLPT4
公園,こうえん,park/public garden,Noun,JLPT4
ストーブ,ストーブ,paraffin heater/stove,Noun,JLPT4
テープレコーダー,テープレコーダー,tape recorder/cassette recorder,Noun,JLPT4
登る,のぼる,climb/mount/go up,Verb,JLPT4
バター,バター,butter,Noun,JLPT4
辞書,じしょ,dictionary,Noun,JLPT4
カレンダー,カレンダー,calendar,Noun,JLPT4
勤める,つとめる,serve/hold a job,Verb,JLPT4
ワイシャツ,ワイシャツ,(business) shirt/(white) shirt,Noun,JLPT4
池,いけ,pond,Noun,JLPT4
泳ぐ,およぐ,swim,Verb,JLPT4
洗う,あらう,wash,Verb,JLPT4
ハンカチ,ハンカチ,handkerchief,Noun,JLPT4
冷蔵庫,れいぞうこ,refrigerator,Noun,JLPT4
涼しい,すずしい,cool/refreshing,Adjective,JLPT4
スプーン,スプーン,spoon,Noun,JLPT4
建物,たてもの,building/structure,Noun,JLPT4
フォーク,フォーク,fork,Noun,JLPT4
橋,はし,bridge,Noun,JLPT4
隣,となり,neighboring house/next seat,Noun,JLPT4
横,よこ,side/width across,Noun,JLPT4
どうぞ,どうぞ,please,Adverb,JLPT4
ボールペン,ボールペン,ballpoint pen,Noun,JLPT4
そちら,そちら,there/that way,Noun,JLPT4
そば,そば,buckwheat noodles/soba,Noun,JLPT4
静か,しずか,quiet/tranquil,Adjectival Noun,JLPT4
暇,ひま,free time/spare time,Noun,JLPT4
両親,りょうしん,parents,Noun,JLPT4
どなた,どなた,who,Noun,JLPT4
困る,こまる,be at a loss/in a jam/in trouble,Verb,JLPT4
塩,しお,salt,Noun,JLPT4
砂糖,さとう,sugar,Noun,JLPT4
薄い,うすい,thin/weak/pale,Adjective,JLPT4
厚い,あつい,thick/bulky,Adjective,JLPT4
スリッパ,スリッパ,slippers,Noun,JLPT4
奥さん,おくさん,married lady/your wife,Noun,JLPT4
皆さん,みなさん,everybody/ladies and gentlemen,Noun,JLPT4
誕生日,たんじょうび,birthday,Noun,JLPT4
たくさん,たくさん,in large quantity/plenty,Adverb,JLPT4
あちら,あちら,way over there,Noun,JLPT4
庭,にわ,garden/court,Noun,JLPT4
咲く,さく,bloom/blossom,Verb,JLPT4
吹く,ふく,blow/play on a wind instrument,Verb,JLPT4
散歩,さんぽ,walk/stroll,Verbal Noun,JLPT4
葉書,はがき,postcard,Noun,JLPT4
吸う,すう,inhale/suck,Verb,JLPT4
撮る,とる,photograph/shoot/film,Verb,JLPT4
再来年,さらいねん,the year after next,Noun,JLPT4
鳥,とり,bird/poultry,Noun,JLPT4
鳴く,なく,cry/chirp/meow,Verb,JLPT4
声,こえ,voice/sound,Noun,JLPT4
卵,たまご,egg,Noun,JLPT4
弾く,ひく,play on,Verb,JLPT4
丸い,まるい,round,Adjective,JLPT4
嫌,いや,dislike/have a dislike for,Adjectival Noun,JLPT4
大勢,おおぜい,large numbers/a lot of,Noun,JLPT4
机,つくえ,desk/table,Noun,JLPT4
本棚,ほんだな,bookshelf,Noun,JLPT4
洗濯,せんたく,laundering/washing,Verbal Noun,JLPT4
喫茶店,きっさてん,coffee shop/tea house/café,Noun,JLPT4
灰皿,はいざら,ashtray,Noun,JLPT4
居る,いる,be present,Verb,JLPT4
戸,と,door/shutter,Noun,JLPT4
豚肉,ぶたにく,pork/hog meat,Noun,JLPT4
お菓子,おかし,sweets/snacks,Noun,JLPT4
鉛筆,えんぴつ,pencil,Noun,JLPT4
万年筆,まんねんひつ,fountain pen,Noun,JLPT4
箱,はこ,box/case,Noun,JLPT4
玄関,げんかん,entrance/door,Noun,JLPT4
眼鏡,めがね,glasses/judgment,Noun,JLPT4
封筒,ふうとう,envelope,Noun,JLPT4
たばこ,たばこ,tobacco/cigarette,Noun,JLPT4
掃除,そうじ,cleaning,Verbal Noun,JLPT4
ちょうど,ちょうど,just/as if,Adverb,JLPT4
ちょっと,ちょっと,just a moment/just a little/easily,Adverb,JLPT4
帽子,ぼうし,cap/hat,Noun,JLPT4
零,れい,zero/naught,Noun,JLPT4
食堂,しょくどう,dining hall/restaurant,Noun,JLPT4
丈夫,じょうぶ,healthy/stout,Adjectival Noun,JLPT4
傘,かさ,umbrella/parasol,Noun,JLPT4
靴,くつ,shoes/boots,Noun,JLPT4
靴下,くつした,socks/stockings,Noun,JLPT4
磨く,みがく,polish/grind,Verb,JLPT4
いつも,いつも,always/usually,Noun,JLPT4
クラス,クラス,class/lesson,Noun,JLPT4
大人,おとな,adult,Adjective,JLPT4
私,わたくし,I/myself,Noun,JLPT4
元気,げんき,vigor/spirits,Noun,JLPT4
門,もん,gate/entrance,Noun,JLPT4
かかる,かかる,catch/get,Verb,JLPT4
ああ,ああ,that kind of,Adverb,JLPT4
字引,じびき,dictionary,Noun,JLPT4
さす,さす,pour,Verb,JLPT4
どうも,どうも,for some reason/somehow,Adverb,JLPT4
結構,けっこう,all right/no thank you,Adjective,JLPT4
結構,けっこう,quite,Adverb,JLPT4
一緒,いっしょ,together,Verbal Noun,JLPT4
辛い,からい,strict/severe,Adjective,JLPT4
まずい,まずい,bad/no good,Adjective,JLPT4
背広,せびろ,business suit,Noun,JLPT4
まずい,まずい,problematic/troublesome,Adjective,JLPT4
花瓶,かびん,flower vase,Noun,JLPT4
年,とし,year/age,Noun,JLPT3
